Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001,Male,Yes,0,Graduate,No,3000,1000,150.0,360.0,1.0,Urban,N
LP002,Female,No,2,Graduate,No,5000,2000,250.0,180.0,1.0,Rural,N
LP003,Male,No,1,Graduate,No,6000,2500,300.0,180.0,1.0,Semiurban,N
LP004,Female,Yes,3,Graduate,No,7000,3000,350.0,240.0,1.0,Urban,N
LP005,Male,No,0,Graduate,Yes,6000,1500,400.0,360.0,1.0,Semiurban,N
LP006,Male,Yes,0,Graduate,Yes,8000,3000,450.0,360.0,1.0,Rural,N
LP007,Male,No,1,Graduate,Yes,9000,3500,500.0,420.0,1.0,Semiurban,N
LP008,Male,No,2,Graduate,No,10000,4000,550.0,360.0,1.0,Urban,N
LP009,Female,Yes,3,Graduate,No,11000,4500,600.0,240.0,1.0,Rural,N
LP010,Male,No,0,Graduate,Yes,10000,5000,650.0,180.0,1.0,Urban,N
LP011,Male,Yes,0,Graduate,No,12000,5500,700.0,360.0,1.0,Semiurban,N
LP012,Female,No,2,Graduate,Yes,13000,6000,750.0,180.0,1.0,Rural,N
LP013,Male,No,1,Graduate,No,14000,6500,800.0,360.0,1.0,Urban,N
LP014,Female,Yes,3,Graduate,Yes,15000,7000,850.0,240.0,1.0,Rural,N
LP015,Male,No,0,Graduate,No,16000,7500,900.0,360.0,1.0,Semiurban,N
LP016,Male,Yes,0,Graduate,Yes,17000,8000,950.0,180.0,1.0,Urban,N
LP017,Male,No,2,Graduate,No,18000,8500,1000.0,360.0,1.0,Rural,N
LP018,Female,Yes,3,Graduate,Yes,19000,9000,1050.0,240.0,1.0,Semiurban,N
LP019,Male,No,0,Graduate,No,20000,9500,1100.0,360.0,1.0,Urban,N
LP020,Male,Yes,0,Graduate,Yes,21000,10000,1150.0,180.0,1.0,Rural,N
LP021,Male,No,1,Graduate,No,22000,10500,1200.0,360.0,1.0,Semiurban,N
LP022,Female,Yes,3,Graduate,Yes,23000,11000,1250.0,240.0,1.0,Urban,N
LP023,Male,No,0,Graduate,No,24000,11500,1300.0,360.0,1.0,Rural,N
LP024,Male,Yes,0,Graduate,Yes,25000,12000,1350.0,180.0,1.0,Semiurban,N
LP025,Male,No,2,Graduate,No,26000,12500,1400.0,360.0,1.0,Urban,N
LP026,Female,Yes,3,Graduate,Yes,27000,13000,1450.0,240.0,1.0,Rural,N
LP027,Male,No,0,Graduate,No,28000,13500,1500.0,360.0,1.0,Semiurban,N
LP028,Male,Yes,0,Graduate,Yes,29000,14000,1550.0,180.0,1.0,Urban,N
LP029,Male,No,1,Graduate,No,30000,14500,1600.0,360.0,1.0,Rural,N
LP030,Female,Yes,3,Graduate,Yes,31000,15000,1650.0,240.0,1.0,Semiurban,N
LP031,Male,No,0,Graduate,No,32000,15500,1700.0,360.0,1.0,Urban,N
LP032,Male,Yes,0,Graduate,Yes,33000,16000,1750.0,180.0,1.0,Rural,N
LP033,Male,No,2,Graduate,No,34000,16500,1800.0,360.0,1.0,Semiurban,N
LP034,Female,Yes,3,Graduate,Yes,35000,17000,1850.0,240.0,1.0,Urban,N
LP035,Male,No,0,Graduate,No,36000,17500,1900.0,360.0,1.0,Rural,N
LP036,Male,Yes,0,Graduate,Yes,37000,18000,1950.0,180.0,1.0,Semiurban,N
LP037,Male,No,1,Graduate,No,38000,18500,2000.0,360.0,1.0,Urban,N
LP038,Female,Yes,3,Graduate,Yes,39000,19000,2050.0,240.0,1.0,Rural,N
LP039,Male,No,0,Graduate,No,40000,19500,2100.0,360.0,1.0,Semiurban,N
LP040,Male,Yes,0,Graduate,Yes,41000,20000,2150.0,180.0,1.0,Urban,N
LP041,Male,No,2,Graduate,No,42000,20500,2200.0,360.0,1.0,Rural,N
LP042,Female,Yes,3,Graduate,Yes,43000,21000,2250.0,240.0,1.0,Semiurban,N
LP043,Male,No,0,Graduate,No,44000,21500,2300.0,360.0,1.0,Urban,N
LP044,Male,Yes,0,Graduate,Yes,45000,22000,2350.0,180.0,1.0,Rural,N
LP045,Male,No,1,Graduate,No,46000,22500,2400.0,360.0,1.0,Semiurban,N
LP046,Female,Yes,3,Graduate,Yes,47000,23000,2450.0,240.0,1.0,Urban,N
LP047,Male,No,0,Graduate,No,48000,23500,2500.0,360.0,1.0,Rural,N
LP048,Male,Yes,0,Graduate,Yes,49000,24000,2550.0,180.0,1.0,Semiurban,N
LP049,Male,No,2,Graduate,No,50000,24500,2600.0,360.0,1.0,Urban,N
LP050,Female,Yes,3,Graduate,Yes,51000,25000,2650.0,240.0,1.0,Rural,N
LP051,Male,No,0,Graduate,No,52000,25500,2700.0,360.0,1.0,Semiurban,N
LP052,Male,Yes,0,Graduate,Yes,53000,26000,2750.0,180.0,1.0,Urban,N
LP053,Male,No,1,Graduate,No,54000,26500,2800.0,360.0,1.0,Rural,N
LP054,Female,Yes,3,Graduate,Yes,55000,27000,2850.0,240.0,1.0,Semiurban,N
LP055,Male,No,0,Graduate,No,56000,27500,2900.0,360.0,1.0,Urban,N
LP056,Male,Yes,0,Graduate,Yes,57000,28000,2950.0,180.0,1.0,Rural,N
LP057,Male,No,2,Graduate,No,58000,28500,3000.0,360.0,1.0,Semiurban,N
LP058,Female,Yes,3,Graduate,Yes,59000,29000,3050.0,240.0,1.0,Urban,N
LP059,Male,No,0,Graduate,No,60000,29500,3100.0,360.0,1.0,Rural,N
LP060,Male,Yes,0,Graduate,Yes,61000,30000,3150.0,180.0,1.0,Semiurban,N
LP061,Male,No,1,Graduate,No,62000,30500,3200.0,360.0,1.0,Urban,N
LP062,Female,Yes,3,Graduate,Yes,63000,31000,3250.0,240.0,1.0,Rural,N
LP063,Male,No,0,Graduate,No,64000,31500,3300.0,360.0,1.0,Semiurban,N
LP064,Male,Yes,0,Graduate,Yes,65000,32000,3350.0,180.0,1.0,Urban,N
LP065,Male,No,2,Graduate,No,66000,32500,3400.0,360.0,1.0,Rural,N
LP066,Female,Yes,3,Graduate,Yes,67000,33000,3450.0,240.0,1.0,Semiurban,N
