,loan_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_amount_term,credit_history,property_area,loan_status
0,1,Male,Yes,1,Graduate,No,5440,10810,115,360,1,Urban,Y
1,2,Female,No,0,Not Graduate,Yes,6010,10350,128,360,1,Rural,Y
2,3,Female,Yes, Three or more,Graduate,No,3840,1690,71,180,0,Semiurban,N
3,4,Male,Yes,1,Not Graduate,No,4600,8460,110,360,1,Urban,Y
4,5,Female,No,0,Graduate,No,5350,5850,131,360,1,Urban,Y
5,6,Male,No,0,Graduate,No,3760,2090,151,360,1,Semiurban,Y
6,7, Male,No,0,Graduate,Yes,4870,1340,95,360,1,Rural,Y
7,8,Male,No,0,Not Graduate,No,4740,980,17,360,1,Urban,N
8,9,Female,Yes,2,Graduate,No,3270,3750,100,360,1,Urban,Y
9,10,Male,No,0,Not Graduate,No,3670,5840,93,360,1,Rural,Y
10,11,Male,No,0,Graduate,No,6790,6950,156,360,1,Semiurban,Y
11,12,Female,Yes,2,Not Graduate,No,3120,2470,88,360,1,Urban,Y
12,13,Female,Yes,1,Graduate,No,3690,6950,157,360,1,Rural,Y
13,14,Male,Yes,3+,Not Graduate,No,4320,2340,121,360,1,Semiurban,Y
14,15,Male,No,0,Graduate,No,3220,5850,108,360,1,Rural,Y
15,16,Male,No,0,Graduate,No,2790,5440,103,360,0,Semiurban,N
16,17,Female,Yes,1,Not Graduate,No,2390,7790,106,360,1,Rural,Y
17,18,Female,No,0,Not Graduate,No,6060,5700,131,360,1,Semiurban,Y
18,19,Female,Yes,0,Graduate,No,3560,1890,122,360,1,Semiurban,Y
19,20,Female,Yes,2,Graduate,No,3670,6340,117,360,1,Urban,Y
20,21,Female,No,0,Graduate,No,4960,8460,134,360,1,Rural,Y
21,22,Male,Yes,1,Graduate,Yes,2940,250,81,360,1,Semiurban,Y
22,23,Male,Yes,1,Graduate,No,4420,4179,128,360,1,Semiurban,Y
23,24,Female,No,0,Graduate,No,6714,260,115,360,1,Urban,Y
24,25,Male,No,0,Graduate,No,4010,2090,106,360,0,Rural,N
25,26,Male,No,0,Graduate,No,18720,5440,142,360,1,Urban,Y
26,27,Female,Yes,0,Graduate,No,5480,4140,154,360,1,Semiurban,Y
